id,invoice_id,credit_card_number,credit_card_expiration_date,result,created_at,updated_at
1,1,4654405418249632,,success,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
2,2,4580251236515201,,success,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
3,3,4354495077693036,,failed,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
4,4,4515551623735607,,failed,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
6,5,4844518708741275,,success,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
7,6,4203696133194408,,failed,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
8,7,4801647818676136,,success,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
9,8,4540842003561938,,success,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
10,9,4140149827486249,,success,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
11,11,4923661117104166,,success,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
12,12,4140149827486249,,success,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
13,13,4923661117104166,,success,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
14,99,4140149827486249,,success,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
15,1,4654405418249632,,failed,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
16,1,4654405418249632,,failed,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
